,Chapter,Verse,Sanskrit,Transliteration
19,1,20,"
भीष्मद्रोणप्रमुखत: सर्वेषां च महीक्षिताम्  उवाच पार्थ पश्यैतान्समवेतान्कुरूनिति      
","
bhīṣhma droṇa pramukhataḥ sarveṣhāṁ cha mahī kṣhitāmuvācha pārtha paśhyaitān samavetān kurūn iti
"
20,1,21,"
तत्रापश्यत्स्थितान् पार्थ: पितृ नथ पितामहान्  आचार्यान्मातुलान्भ्रातृ न्पुत्रान्पौत्रान्सखींस्तथा      श्वशुरान्सुहृदश्चैव सेनयोरुभयोरपि  
","
tatrāpaśhyat sthitān pārthaḥ pitṝīn atha pitāmahānāchāryān mātulān bhrātṝīn putrān pautrān sakhīṁs tathāśhvaśhurān suhṛidaśh chaiva senayor ubhayor api
"
21,1,22,"
तान्समीक्ष्य स कौन्तेय: सर्वान्बन्धूनवस्थितान्      कृपया परयाविष्टो विषीदन्निदमब्रवीत्  
","
tān samīkṣhya sa kaunteyaḥ sarvān bandhūn avasthitānkṛipayā parayāviṣhṭo viṣhīdann idam abravīt
"
22,1,23,"
अर्जुन उवाच  दृष्ट्वेमं स्वजनं कृष्ण युयुत्सुं समुपस्थितम्      सीदन्ति मम गात्राणि मुखं च परिशुष्यति  
","
arjuna uvāchadṛiṣhṭvemaṁ sva janaṁ kṛiṣhṇa yuyutsuṁ samupasthitamsīdanti mama gātrāṇi mukhaṁ cha pariśhuṣhyati
"
23,1,24,"
वेपथुश्च शरीरे मे रोमहर्षश्च जायते      गाण्डीवं स्रंसते हस्तात्त्वक्चै व परिदह्यते  न च शक्नोम्यवस्थातुं भ्रमतीव च मे मन:       निमित्तानि च पश्यामि विपरीतानि केशव  न च श्रेयोऽनुपश्यामि हत्वा स्वजनमाहवे      
","
vepathuśh cha śharīre me roma harṣhaśh cha jāyategāṇḍīvaṁ sraṁsate hastāt tvak chaiva paridahyatena cha śhaknomy avasthātuṁ bhramatīva cha me manaḥnimittāni cha paśhyāmi viparītāni keśhavana cha śhreyo ’nupaśhyāmi hatvā sva janam āhave
"
24,1,25,"
न काङ्क्षे विजयं कृष्ण न च राज्यं सुखानि च  किं नो राज्येन गोविन्द किं भोगैर्जीवितेन वा      येषामर्थे काङ्क्षितं नो राज्यं भोगा: सुखानि च  त इमेऽवस्थिता युद्धे प्राणांस्त्यक्त्वा धनानि च      
","
na kāṅkṣhe vijayaṁ kṛiṣhṇa na cha rājyaṁ sukhāni chakiṁ no rājyena govinda kiṁ bhogair jīvitena vāyeṣhām arthe kāṅkṣhitaṁ no rājyaṁ bhogāḥ sukhāni chata ime ’vasthitā yuddhe prāṇāṁs tyaktvā dhanāni cha
"
25,1,26,"
आचार्या: पितर: पुत्रास्तथैव च पितामहा:  मातुला: श्वशुरा: पौत्रा: श्याला: सम्बन्धिनस्तथा       एतान्न हन्तुमिच्छामि घ्नतोऽपि मधुसूदन  अपि त्रैलोक्यराज्यस्य हेतो: किं नु महीकृते      
","
āchāryāḥ pitaraḥ putrās tathaiva cha pitāmahāḥmātulāḥ śhvaśhurāḥ pautrāḥ śhyālāḥ sambandhinas tathāetān na hantum ichchhāmi ghnato ’pi madhusūdanaapi trailokya rājyasya hetoḥ kiṁ nu mahī kṛite
"
26,1,27,"
निहत्य धार्तराष्ट्रान्न: का प्रीति: स्याज्जनार्दन  पापमेवाश्रयेदस्मान्हत्वैतानाततायिन:        तस्मान्नार्हा वयं हन्तुं धार्तराष्ट्रान्स्वबान्धवान्  स्वजनं हि कथं हत्वा सुखिन: स्याम माधव      
","
nihatya dhārtarāṣhṭrān naḥ kā prītiḥ syāj janārdanapāpam evāśhrayed asmān hatvaitān ātatāyinaḥtasmān nārhā vayaṁ hantuṁ dhārtarāṣhṭrān sa bāndhavān sva janaṁ hi kathaṁ hatvā sukhinaḥ syāma mādhava
"
27,1,28,"
यद्यप्येते न पश्यन्ति लोभोपहतचेतस:  कुलक्षयकृतं दोषं मित्रद्रोहे च पातकम्      कथं न ज्ञेयमस्माभि: पापादस्मान्निवर्तितुम्  कुलक्षयकृतं दोषं प्रपश्यद्भिर्जनार्दन      
","
yady apy ete na paśhyanti lobhopahata chetasaḥkula kṣhaya kṛitaṁ doṣhaṁ mitra drohe cha pātakamkathaṁ na jñeyam asmābhiḥ pāpād asmān nivartitumkula kṣhaya kṛitaṁ doṣhaṁ prapaśhyadbhir janārdana
"
28,1,29,"
कुलक्षये प्रणश्यन्ति कुलधर्मा: सनातना:  धर्मे नष्टे कुलं कृत्स्नमधर्मोऽभिभवत्युत      
","
kula kṣhaye praṇaśhyanti kula dharmāḥ sanātanāḥ dharme naṣhṭe kulaṁ kṛitsnam adharmo ’bhibhavaty uta
"
29,1,30,"
अधर्माभिभवात्कृष्ण प्रदुष्यन्ति कुलस्त्रिय:  स्त्रीषु दुष्टासु वार्ष्णेय जायते वर्णसङ्कर:      
","
adharmābhibhavāt kṛiṣhṇa praduṣhyanti kula striyaḥstrīṣhu duṣhṭāsu vārṣhṇeya jāyate varṇa saṅkaraḥ
"
30,1,31,"
सङ्करो नरकायैव कुलघ्नानां कुलस्य च  पतन्ति पितरो ह्येषां लुप्तपिण्डोदकक्रिया:      
","
saṅkaro narakāyaiva kula ghnānāṁ kulasya chapatanti pitaro hy eṣhāṁ lupta piṇḍodaka kriyāḥ
"
31,1,32,"
दोषैरेतै: कुलघ्नानां वर्णसङ्करकारकै:  उत्साद्यन्ते जातिधर्मा: कुलधर्माश्च शाश्वता:      
","
doṣhair etaiḥ kula ghnānāṁ varṇa saṅkara kārakaiḥutsādyante jāti dharmāḥ kula dharmāśh cha śhāśhvatāḥ
"
32,1,33,"
उत्सन्नकुलधर्माणां मनुष्याणां जनार्दन  नरकेऽनियतं वासो भवतीत्यनुशुश्रुम      
","
utsanna kula dharmāṇāṁ manuṣhyāṇāṁ janārdananarake ‘niyataṁ vāso bhavatītyanuśhuśhruma
"
33,1,34,"
अहो बत महत्पापं कर्तुं व्यवसिता वयम्  यद्राज्यसुखलोभेन हन्तुं स्वजनमुद्यता:      यदि मामप्रतीकारमशस्त्रं शस्त्रपाणय:  धार्तराष्ट्रा रणे हन्युस्तन्मे क्षेमतरं भवेत्      
","
aho bata mahat pāpaṁ kartuṁ vyavasitā vayamyad rājya sukha lobhena hantuṁ sva janam udyatāḥyadi mām apratīkāram aśhastraṁ śhastra pāṇayaḥdhārtarāṣhṭrā raṇe hanyus tan me kṣhemataraṁ bhavet
"
34,1,35,"
सञ्जय उवाच  एवमुक्त्वार्जुन: सङ्ख्ये रथोपस्थ उपाविशत्  विसृज्य सशरं चापं शोकसंविग्नमानस:      
","
sañjaya uvāchaevam uktvārjunaḥ saṅkhye rathopastha upāviśhatvisṛijya sa śharaṁ chāpaṁ śhoka saṁvigna mānasaḥ
"
35,2,1,"
सञ्जय उवाच  तं तथा कृपयाविष्टमश्रुपूर्णाकुलेक्षणम्  विषीदन्तमिदं वाक्यमुवाच मधुसूदन:      
","
sañjaya uvāchataṁ tathā kṛipayāviṣhṭamaśhru pūrṇākulekṣhaṇamviṣhīdantamidaṁ vākyam uvācha madhusūdanaḥ
"
36,2,2,"
श्रीभगवानुवाच  कुतस्त्वा कश्मलमिदं विषमे समुपस्थितम्  अनार्यजुष्टमस्वर्ग्यमकीर्तिकरमर्जुन      
","
śhrī bhagavān uvāchakutastvā kaśhmalamidaṁ viṣhame samupasthitamanārya juṣhṭamaswargyam akīrti karam arjuna
"
37,2,3,"
क्लैब्यं मा स्म गम: पार्थ नैतत्त्वय्युपपद्यते  क्षुद्रं हृदयदौर्बल्यं त्यक्त्वोत्तिष्ठ परन्तप      
","
klaibyaṁ mā sma gamaḥ pārtha naitat tvayyupapadyatekṣhudraṁ hṛidaya daurbalyaṁ tyaktvottiṣhṭha parantapa
"
38,2,4,"
अर्जुन उवाच  कथं भीष्ममहं सङ्ख्ये द्रोणं च मधुसूदन  इषुभि: प्रतियोत्स्यामि पूजार्हावरिसूदन      
","
arjuna uvāchakathaṁ bhīṣhmam ahaṁ sankhye droṇaṁ cha madhusūdanaiṣhubhiḥ pratiyotsyāmi pūjārhāvari sūdana
"
39,2,5,"
गुरूनहत्वा हि महानुभावान्श्रेयो भोक्तुं भैक्ष्यमपीह लोके  हत्वार्थकामांस्तु गुरूनिहैवभुञ्जीय भोगान् रुधिरप्रदिग्धान्      
","
gurūnahatvā hi mahānubhāvānśhreyo bhoktuṁ bhaikṣhyamapīha lokehatvārtha kāmāṁstu gurūnihaivabhuñjīya bhogān rudhira pradigdhān
"
40,2,6,"
न चैतद्विद्म: कतरन्नो गरीयोयद्वा जयेम यदि वा नो जयेयु:  यानेव हत्वा न जिजीविषामस्तेऽवस्थिता: प्रमुखे धार्तराष्ट्रा:      
","
na chaitadvidmaḥ kataranno garīyoyadvā jayema yadi vā no jayeyuḥyāneva hatvā na jijīviṣhāmaste ’vasthitāḥ pramukhe dhārtarāṣhṭrāḥ
"
41,2,7,"
कार्पण्यदोषोपहतस्वभाव: पृच्छामि त्वां धर्मसम्मूढचेता:  यच्छ्रेय: स्यान्निश्चितं ब्रूहि तन्मेशिष्यस्तेऽहं शाधि मां त्वां प्रपन्नम्      
","
kārpaṇya doṣhopahata svabhāvaḥpṛichchhāmi tvāṁ dharma sammūḍha chetāḥyach chhreyaḥ syānniśhchitaṁ brūhi tanmeśhiṣhyaste ’haṁ śhādhi māṁ tvāṁ prapannam
"
42,2,8,"
न हि प्रपश्यामि ममापनुद्याद्यच्छोकमुच्छोषणमिन्द्रियाणाम्  अवाप्य भूमावसपत्नमृद्धंराज्यं सुराणामपि चाधिपत्यम्      
","
na hi prapaśhyāmi mamāpanudyādyach chhokam uchchhoṣhaṇam indriyāṇāmavāpya bhūmāv asapatnamṛiddhaṁrājyaṁ surāṇāmapi chādhipatyam
"
43,2,9,"
सञ्जय उवाच  एवमुक्त्वा हृषीकेशं गुडाकेश: परन्तप  न योत्स्य इति गोविन्दमुक्त्वा तूष्णीं बभूव ह      
","
sañjaya uvāchaevam uktvā hṛiṣhīkeśhaṁ guḍākeśhaḥ parantapana yotsya iti govindam uktvā tūṣhṇīṁ babhūva ha
"
44,2,10,"
तमुवाच हृषीकेश: प्रहसन्निव भारत  सेनयोरुभयोर्मध्ये विषीदन्तमिदं वच:      
","
tam uvācha hṛiṣhīkeśhaḥ prahasanniva bhāratasenayorubhayor madhye viṣhīdantam idaṁ vachaḥ
"
45,2,11,"
श्रीभगवानुवाच  अशोच्यानन्वशोचस्त्वं प्रज्ञावादांश्च भाषसे  गतासूनगतासूंश्च नानुशोचन्ति पण्डिता:      
","
śhrī bhagavān uvāchaaśhochyān anvaśhochas tvaṁ prajñā vādānśh cha bhāṣhasegatāsūn agatāsūnśh cha nānuśhochanti paṇḍitāḥ
"
46,2,12,"
न त्वेवाहं जातु नासं न त्वं नेमे जनाधिपा  न चैव न भविष्याम: सर्वे वयमत: परम्      
","
na tvevāhaṁ jātu nāsaṁ na tvaṁ neme janādhipāḥna chaiva na bhaviṣhyāmaḥ sarve vayamataḥ param
"
47,2,13,"
देहिनोऽस्मिन्यथा देहे कौमारं यौवनं जरा  तथा देहान्तरप्राप्तिर्धीरस्तत्र न मुह्यति      
","
dehino ’smin yathā dehe kaumāraṁ yauvanaṁ jarātathā dehāntara prāptir dhīras tatra na muhyati
"
48,2,14,"
मात्रास्पर्शास्तु कौन्तेय शीतोष्णसुखदु: खदा:  आगमापायिनोऽनित्यास्तांस्तितिक्षस्व भारत      
","
mātrā sparśhās tu kaunteya śhītoṣhṇa sukha duḥkha dāḥāgamāpāyino ’nityās tans titikṣhasva bhārata
"
49,2,15,"
यं हि न व्यथयन्त्येते पुरुषं पुरुषर्षभ  समदु:खसुखं धीरं सोऽमृतत्वाय कल्पते      
","
yaṁ hi na vyathayantyete puruṣhaṁ puruṣharṣhabhasama duḥkha sukhaṁ dhīraṁ so ’mṛitatvāya kalpate
"
50,2,16,"
नासतो विद्यते भावो नाभावो विद्यते सत:  उभयोरपि दृष्टोऽन्तस्त्वनयोस्तत्त्वदर्शिभि:      
","
nāsato vidyate bhāvo nābhāvo vidyate sataḥubhayorapi dṛiṣhṭo ’nta stvanayos tattva darśhibhiḥ
"
51,2,17,"
अविनाशि तु तद्विद्धि येन सर्वमिदं ततम्  विनाशमव्ययस्यास्य न कश्चित्कर्तुमर्हति      
","
avināśhi tu tadviddhi yena sarvam idaṁ tatamvināśham avyayasyāsya na kaśhchit kartum arhati
"
52,2,18,"
अन्तवन्त इमे देहा नित्यस्योक्ता: शरीरिण:  अनाशिनोऽप्रमेयस्य तस्माद्युध्यस्व भारत      
","
antavanta ime dehā nityasyoktāḥ śharīriṇaḥanāśhino ’prameyasya tasmād yudhyasva bhārata
"
53,2,19,"
य एनं वेत्ति हन्तारं यश्चैनं मन्यते हतम्  उभौ तौ न विजानीतो नायं हन्ति न हन्यते      
","
ya enaṁ vetti hantāraṁ yaśh chainaṁ manyate hatamubhau tau na vijānīto nāyaṁ hanti na hanyate
"
54,2,20,"
न जायते म्रियते वा कदाचिनायं भूत्वा भविता वा न भूय:  अजो नित्य: शाश्वतोऽयं पुराणोन हन्यते हन्यमाने शरीरे      
","
na jāyate mriyate vā kadāchinnāyaṁ bhūtvā bhavitā vā na bhūyaḥajo nityaḥ śhāśhvato ’yaṁ purāṇona hanyate hanyamāne śharīre
"
55,2,21,"
वेदाविनाशिनं नित्यं य एनमजमव्ययम्  कथं स पुरुष: पार्थ कं घातयति हन्ति कम्      
","
vedāvināśhinaṁ nityaṁ ya enam ajam avyayamkathaṁ sa puruṣhaḥ pārtha kaṁ ghātayati hanti kam
"
56,2,22,"
वासांसि जीर्णानि यथा विहायनवानि गृह्णाति नरोऽपराणि  तथा शरीराणि विहाय जीर्णान्यन्यानि संयाति नवानि देही      
","
vāsānsi jīrṇāni yathā vihāyanavāni gṛihṇāti naro ’parāṇitathā śharīrāṇi vihāya jīrṇānyanyāni sanyāti navāni dehī
"
57,2,23,"
नैनं छिन्दन्ति शस्त्राणि नैनं दहति पावक:  न चैनं क्लेदयन्त्यापो न शोषयति मारुत:      
","
nainaṁ chhindanti śhastrāṇi nainaṁ dahati pāvakaḥna chainaṁ kledayantyāpo na śhoṣhayati mārutaḥ
"
58,2,24,"
अच्छेद्योऽयमदाह्योऽयमक्लेद्योऽशोष्य एव च  नित्य: सर्वगत: स्थाणुरचलोऽयं सनातन:      
","
achchhedyo ’yam adāhyo ’yam akledyo ’śhoṣhya eva chanityaḥ sarva gataḥ sthāṇur achalo ’yaṁ sanātanaḥ
"
59,2,25,"
अव्यक्तोऽयमचिन्त्योऽयमविकार्योऽयमुच्यते  तस्मादेवं विदित्वैनं नानुशोचितुमर्हसि      
","
avyakto ’yam achintyo ’yam avikāryo ’yam uchyatetasmādevaṁ viditvainaṁ nānuśhochitum arhasi
"
60,2,26,"
अथ चैनं नित्यजातं नित्यं वा मन्यसे मृतम्  तथापि त्वं महाबाहो नैवं शोचितुमर्हसि      
","
atha chainaṁ nitya jātaṁ nityaṁ vā manyase mṛitamtathāpi tvaṁ mahā bāho naivaṁ śhochitum arhasi
"
61,2,27,"
जातस्य हि ध्रुवो मृत्युर्ध्रुवं जन्म मृतस्य च  तस्मादपरिहार्येऽर्थे न त्वं शोचितुमर्हसि      
","
jātasya hi dhruvo mṛityur dhruvaṁ janma mṛitasya chatasmād aparihārye ’rthe na tvaṁ śhochitum arhasi
"
62,2,28,"
अव्यक्तादीनि भूतानि व्यक्तमध्यानि भारत  अव्यक्तनिधनान्येव तत्र का परिदेवना      
","
avyaktādīni bhūtāni vyakta madhyāni bhārataavyakta nidhanānyeva tatra kā paridevanā
"
63,2,29,"
आश्चर्यवत्पश्यति कश्चिदेनमाश्चर्यवद्वदति तथैव चान्य:  आश्चर्यवच्चैनमन्य: शृ्णोतिश्रुत्वाप्येनं वेद न चैव कश्चित्      
","
āśhcharya vat paśhyati kaśhchid enanāśhcharya vad vadati tathaiva chānyaḥāśhcharya vach chainam anyaḥ śhṛiṇotiśhrutvāpyenaṁ veda na chaiva kaśhchit
"
64,2,30,"
देही नित्यमवध्योऽयं देहे सर्वस्य भारत  तस्मात्सर्वाणि भूतानि न त्वं शोचितुमर्हसि      
","
dehī nityam avadhyo ’yaṁ dehe sarvasya bhāratatasmāt sarvāṇi bhūtāni na tvaṁ śhochitum arhasi
"
65,2,31,"
स्वधर्ममपि चावेक्ष्य न विकम्पितुमर्हसि  धर्म्याद्धि युद्धाच्छ्रेयोऽन्यत्क्षत्रियस्य न विद्यते      
","
swa dharmam api chāvekṣhya na vikampitum arhasidharmyāddhi yuddhāch chhreyo ’nyat kṣhatriyasya na vidyate
"
66,2,32,"
यदृच्छया चोपपन्नं स्वर्गद्वारमपावृतम्  सुखिन: क्षत्रिया: पार्थ लभन्ते युद्धमीदृशम्      
","
yadṛichchhayā chopapannaṁ swarga dvāram apāvṛitamsukhinaḥ kṣhatriyāḥ pārtha labhante yuddham īdṛiśham
"
67,2,33,"
अथ चेतत्त्वमिमं धर्म्यं संग्रामं न करिष्यसि  तत: स्वधर्मं कीर्तिं च हित्वा पापमवाप्स्यसि      
","
atha chet tvam imaṁ dharmyaṁ saṅgrāmaṁ na kariṣhyasitataḥ sva dharmaṁ kīrtiṁ cha hitvā pāpam avāpsyasi
"
68,2,34,"
अकीर्तिं चापि भूतानिकथयिष्यन्ति तेऽव्ययाम्  सम्भावितस्य चाकीर्तिर्मरणादतिरिच्यते      
","
akīrtiṁ chāpi bhūtānikathayiṣhyanti te ’vyayāmsambhāvitasya chākīrtirmaraṇād atirichyate
"
69,2,35,"
भयाद्रणादुपरतं मंस्यन्ते त्वां महारथा:  येषां च त्वं बहुमतो भूत्वा यास्यसि लाघवम्      
","
bhayād raṇād uparataṁ mansyante tvāṁ mahā rathāḥyeṣhāṁ cha tvaṁ bahu mato bhūtvā yāsyasi lāghavam
"
70,2,36,"
अवाच्यवादांश्च बहून्वदिष्यन्ति तवाहिता:  निन्दन्तस्तव सामर्थ्यं ततो दु:खतरं नु किम्      
","
avāchya vādānśh cha bahūn vadiṣhyanti tavāhitāḥnindantastava sāmarthyaṁ tato duḥkhataraṁ nu kim
"
71,2,37,"
हतो वा प्राप्स्यसि स्वर्गं जित्वा वा भोक्ष्यसे महीम्  तस्मादुत्तिष्ठ कौन्तेय युद्धाय कृतनिश्चय:      
","
hato vā prāpsyasi swargaṁ jitvā vā bhokṣhyase mahīmtasmād uttiṣhṭha kaunteya yuddhāya kṛita niśhchayaḥ
"
72,2,38,"
सुखदु:खे समे कृत्वा लाभालाभौ जयाजयौ  ततो युद्धाय युज्यस्व नैवं पापमवाप्स्यसि      
","
sukha duḥkhe same kṛitvā lābhālābhau jayājayautato yuddhāya yujyasva naivaṁ pāpam avāpsyasi
"
73,2,39,"
एषा तेऽभिहिता साङ्ख्येबुद्धिर्योगे त्विमां शृणु  बुद्ध्या युक्तो यया पार्थकर्मबन्धं प्रहास्यसि      
","
eṣhā te ’bhihitā sānkhyebuddhir yoge tvimāṁ śhṛiṇubuddhyā yukto yayā pārthakarma bandhaṁ prahāsyasi
"
74,2,40,"
नेहाभिक्रमनाशोऽस्ति प्रत्यवायो न विद्यते  स्वल्पमप्यस्य धर्मस्य त्रायते महतो भयात्      
","
nehābhikrama nāśho ’sti pratyavāyo na vidyatesvalpam apyasya dharmasya trāyate mahato bhayāt
"
75,2,41,"
व्यवसायात्मिका बुद्धिरेकेह कुरुनन्दन  बहुशाखा ह्यनन्ताश्च बुद्धयोऽव्यवसायिनाम्      
","
vyavasāyātmikā buddhir ekeha kuru nandanabahu śhākhā hyanantāśh cha buddhayo ’vyavasāyinām
"
76,2,42,"
यामिमां पुष्पितां वाचं प्रवदन्त्यविपश्चित:  वेदवादरता: पार्थ नान्यदस्तीति वादिन:      कामात्मान: स्वर्गपरा जन्मकर्मफलप्रदाम्  क्रियाविशेषबहुलां भोगैश्वर्यगतिं प्रति      
","
yāmimāṁ puṣhpitāṁ vāchaṁ pravadanty avipaśhchitaḥveda vāda ratāḥ pārtha nānyad astīti vādinaḥkāmātmānaḥ swarga parā janma karma phala pradāmkriyā viśheṣha bahulāṁ bhogaiśhwarya gatiṁ prati
"
