,Translation
chpt2V14,"O son of Kunti, the contact between the senses and the sense objects gives rise to fleeting perceptions of happiness and distress. These are non-permanent, and come and go like the winter and summer seasons. O descendent of Bharat, one must learn to tolerate them without being disturbed."
chpt2V15,"O Arjun, noblest amongst men, that person who is not affected by happiness and distress, and remains steady in both, becomes eligible for liberation."
chpt2V16,"Of the transient there is no endurance, and of the eternal there is no cessation. This has verily been observed and concluded by the seers of the Truth, after studying the nature of both."
chpt2V17,"That which pervades the entire body, know it to be indestructible. No one can cause the destruction of the imperishable soul."
chpt2V18,"Only the material body is perishable; the embodied soul within is indestructible, immeasurable, and eternal. Therefore, fight, O descendent of Bharat."
chpt2V19,"Neither of them is in knowledge—the one who thinks the soul can slay and the one who thinks the soul can be slain. For truly, the soul neither kills nor can it be killed."
chpt2V20,"The soul is neither born, nor does it ever die; nor having once existed, does it ever cease to be. The soul is without birth, eternal, immortal, and ageless. It is not destroyed when the body is destroyed."
chpt2V21,"O Parth, how can one who knows the soul to be imperishable, eternal, unborn, and immutable kill anyone or cause anyone to kill?"
chpt2V22,"As a person sheds worn-out garments and wears new ones, likewise, at the time of death, the soul casts off its worn-out body and enters a new one."
chpt2V23,"Weapons cannot shred the soul, nor can fire burn it. Water cannot wet it, nor can the wind dry it."
chpt2V24,"The soul is unbreakable and incombustible; it can neither be dampened nor dried. It is everlasting, in all places, unalterable, immutable, and primordial."
chpt2V25,"The soul is spoken of as invisible, inconceivable, and unchangeable. Knowing this, you should not grieve for the body."
chpt2V26,"If, however, you think that the self is subject to constant birth and death, O mighty-armed Arjun, even then you should not grieve like this."
chpt2V27,"Death is certain for one who has been born, and rebirth is inevitable for one who has died. Therefore, you should not lament over the inevitable."
chpt2V28,"O scion of Bharat, all created beings are unmanifest before birth, manifest in life, and again unmanifest on death. So why grieve?"
chpt2V29,"Some see the soul as amazing, some describe it as amazing, and some hear of the soul as amazing, while others, even on hearing, cannot understand it at all."
chpt2V30,"O Arjun, the soul that dwells within the body is immortal; therefore, you should not mourn for anyone."
chpt2V31,"Besides, considering your duty as a warrior, you should not waver. Indeed, for a warrior, there is no better engagement than fighting for upholding of righteousness."
chpt2V32,"O Parth, happy are the warriors to whom such opportunities to defend righteousness come unsought, opening for them the stairway to the celestial abodes."
chpt2V33,"If, however, you refuse to fight this righteous war, abandoning your social duty and reputation, you will certainly incur sin."
chpt2V34,"People will speak of you as a coward and a deserter. For a respectable person, infamy is worse than death."
chpt2V35,"The great generals who hold you in high esteem will think that you fled from the battlefield out of fear, and thus will lose their respect for you."
chpt2V36,"Your enemies will defame and humiliate you with unkind words, disparaging your might. Alas, what could be more painful than that?"
chpt2V37,"If you fight, you will either be slain on the battlefield and go to the celestial abodes, or you will gain victory and enjoy the kingdom on earth. Therefore arise with determination, O son of Kunti, and be prepared to fight."
chpt2V38,"Fight for the sake of duty, treating alike happiness and distress, loss and gain, victory and defeat. Fulfilling your responsibility in this way, you will never incur sin."
chpt2V39,"Hitherto, I have explained to you Sānkhya Yog, or analytic knowledge regarding the nature of the soul. Now listen, O Parth, as I reveal Buddhi Yog, or the Yog of Intellect. When you work with such understanding, you will be freed from the bondage of karma."
chpt2V40,"Working in this state of consciousness, there is no loss or adverse result, and even a little effort saves one from great danger."
chpt2V41,"O descendent of the Kurus, the intellect of those who are on this path is resolute, and their aim is one-pointed. But the intellect of those who are irresolute is many-branched."
chpt2V42,"Those with limited understanding, get attracted to the flowery words of the Vedas, which advocate ostentatious rituals for elevation to the celestial abodes, and presume no higher principle is described in them. They glorify only those portions of the Vedas that please their senses, and perform pompous ritualistic ceremonies for attaining high birth, opulence, sensual enjoyment, and elevation to the heavenly planets."
chpt2V44,"With their minds deeply attached to worldly pleasures and their intellects bewildered by such things, they are unable to possess the resolute determination for success on the path to God."
chpt2V45,"The Vedas deal with the three modes of material nature, O Arjun. Rise above the three modes to a state of pure spiritual consciousness. Freeing yourself from dualities, eternally fixed in Truth, and without concern for material gain and safety, be situated in the self."
chpt2V46,"Whatever purpose is served by a small well of water is naturally served in all respects by a large lake. Similarly, one who realizes the Absolute Truth also fulfills the purpose of all the Vedas."
chpt2V47,"You have a right to perform your prescribed duties, but you are not entitled to the fruits of your actions. Never consider yourself to be the cause of the results of your activities, nor be attached to inaction."
chpt2V48,"Be steadfast in the performance of your duty, O Arjun, abandoning attachment to success and failure. Such equanimity is called Yog."
chpt2V49,"Seek refuge in divine knowledge and insight, O Arjun, and discard reward-seeking actions that are certainly inferior to works performed with the intellect established in divine knowledge. Miserly are those who seek to enjoy the fruits of their works."
chpt2V50,"One who prudently practices the science of work without attachment can get rid of both good and bad reactions in this life itself. Therefore, strive for Yog, which is the art of working skillfully (in proper consciousness)."
chpt2V51,"The wise endowed with equanimity of intellect, abandon attachment to the fruits of actions, which bind one to the cycle of life and death. By working in such consciousness, they attain the state beyond all suffering."
chpt2V52,"When your intellect crosses the quagmire of delusion, you will then acquire indifference to what has been heard and what is yet to be heard (about enjoyments in this world and the next)."
chpt2V53,"When your intellect ceases to be allured by the fruitive sections of the Vedas and remains steadfast in divine consciousness, you will then attain the state of perfect Yog."
chpt2V54,"Arjun said : O Keshav, what is the disposition of one who is situated in divine consciousness? How does an enlightened person talk? How does he sit? How does he walk?"
chpt2V55,"The Supreme Lord said: O Parth, when one discards all selfish desires and cravings of the senses that torment the mind, and becomes satisfied in the realization of the self, such a person is said to be transcendentally situated."
chpt2V56,"One whose mind remains undisturbed amidst misery, who does not crave for pleasure, and who is free from attachment, fear, and anger, is called a sage of steady wisdom."
chpt2V57,"One who remains unattached under all conditions, and is neither delighted by good fortune nor dejected by tribulation, he is a sage with perfect knowledge."
chpt2V58,"One who is able to withdraw the senses from their objects, just as a tortoise withdraws its limbs into its shell, is established in divine wisdom."
chpt2V59,"Aspirants may restrain the senses from their objects of enjoyment, but the taste for the sense objects remains. However, even this taste ceases for those who realizes the Supreme."
chpt2V60,"The senses are so strong and turbulent, O son of Kunti, that they can forcibly carry away the mind even of a person endowed with discrimination who practices self-control."
chpt2V61,"They are established in perfect knowledge, who subdue their senses and keep their minds ever absorbed in Me."
chpt2V62,"While contemplating on the objects of the senses, one develops attachment to them. Attachment leads to desire, and from desire arises anger."
chpt2V63,"Anger leads to clouding of judgment, which results in bewilderment of memory. When memory is bewildered, the intellect gets destroyed; and when the intellect is destroyed, one is ruined."
chpt2V64,"But one who controls the mind, and is free from attachment and aversion, even while using the objects of the senses, attains the Grace of God."
chpt2V65,"By divine grace comes the peace in which all sorrows end, and the intellect of such a person of tranquil mind soon becomes firmly established in God."
chpt2V66,"But an undisciplined person, who has not controlled the mind and senses, can neither have a resolute intellect nor steady contemplation on God. For one who never unites the mind with God there is no peace; and how can one who lacks peace be happy?"
chpt2V67,"Just as a strong wind sweeps a boat off its chartered course on the water, even one of the senses on which the mind focuses can lead the intellect astray."
chpt2V68,"Therefore, one who has restrained the senses from their objects, O mighty armed Arjun, is firmly established in transcendental knowledge."
chpt2V69,"What all beings consider as day is the night of ignorance for the wise, and what all creatures see as night is the day for the introspective sage."
chpt2V70,"Just as the ocean remains undisturbed by the incessant flow of waters from rivers merging into it, likewise the sage who is unmoved despite the flow of desirable objects all around him attains peace, and not the person who strives to satisfy desires."
chpt2V71,"That person, who gives up all material desires and lives free from a sense of greed, proprietorship, and egoism, attains perfect peace."
chpt2V72,"O Parth, such is the state of an enlightened soul that having attained it, one is never again deluded. Being established in this consciousness even at the hour of death, one is liberated from the cycle of life and death and reaches the Supreme Abode of God."
chpt3V1,"Arjun said: O Janardan, if You consider knowledge superior to action, then why do You ask me to wage this terrible war? My intellect is bewildered by Your ambiguous advice. Please tell me decisively the one path by which I may attain the highest good."
chpt3V3,"The Lord said: O sinless one, the two paths leading to enlightenment were previously explained by Me: the path of knowledge, for those inclined toward contemplation, and the path of work for those inclined toward action."
chpt3V4,"One cannot achieve freedom from karmic reactions by merely abstaining from work, nor can one attain perfection of knowledge by mere physical renunciation."
chpt3V5,"There is no one who can remain without action even for a moment. Indeed, all beings are compelled to act by their qualities born of material nature (the three"
chpt3V6,"Those who restrain the external organs of action, while continuing to dwell on sense objects in the mind, certainly delude themselves and are to be called hypocrites."
chpt3V7,"But those karm yogis who control their knowledge senses with the mind, O Arjun, and engage the working senses in working without attachment, are certainly superior."
chpt3V8,"You should thus perform your prescribed Vedic duties, since action is superior to inaction. By ceasing activity, even your bodily maintenance will not be possible."
chpt3V9,"Work must be done as a yajna to the Supreme Lord; otherwise, work causes bondage in this material world. Therefore, O son of Kunti, for the satisfaction of God, perform your prescribed duties, without being attached to the results."
chpt3V10,"In the beginning of creation, Brahma created humankind along with duties, and said, “Prosper in the performance of these"
chpt3V11,"By your sacrifices, the celestial gods will be pleased, and by cooperation between humans and the celestial gods, great prosperity will reign for all."
chpt3V12,"The celestial gods, being satisfied by the performance of sacrifice, will grant you all the desired necessities of life. But those who enjoy what is given to them, without making offerings in return, are verily thieves."
chpt3V13,"The spiritually-minded, who eat food that is first offered in sacrifice, are released from all kinds of sin. Others, who cook food for their own enjoyment, verily eat only sin."
chpt3V14,"All living beings subsist on food, and food is produced by rains. Rains come from the performance of sacrifice, and sacrifice is produced by the performance of prescribed duties."
chpt3V15,"The duties for human beings are described in the Vedas, and the Vedas are manifested by God Himself. Therefore, the all-pervading Lord is eternally present in acts of sacrifice."
chpt3V16,"O Parth, those who do not accept their responsibility in the cycle of sacrifice established by the Vedas are sinful. They live only for the delight of their senses; indeed their lives are in vain."
chpt3V17,"But those who rejoice in the self, who are illumined and fully satisfied in the self, for them, there is no duty."
chpt3V18,Such self-realized souls have nothing to gain or lose either in discharging or renouncing their duties. Nor do they need to depend on other living beings to fulfill their self-interest.
chpt3V19,"Therefore, giving up attachment, perform actions as a matter of duty because by working without being attached to the fruits, one attains the Supreme."
chpt3V20,"By performing their prescribed duties, King Janak and others attained perfection. You should also perform your duties to set an example for the good of the world. Whatever actions great persons perform, common people follow. Whatever standards they set, all the world pursues."
chpt3V22,"There is no duty for Me to do in all the three worlds, O Parth, nor do I have anything to gain or attain. Yet, I am engaged in prescribed duties."
chpt3V23,"For if I did not carefully perform the prescribed duties, O Parth, all men would follow My path in all respects."
chpt3V24,"If I ceased to perform prescribed actions, all these worlds would perish. I would be responsible for the pandemonium that would prevail, and would thereby destroy the peace of the human race."
chpt3V25,"As ignorant people perform their duties with attachment to the results, O scion of Bharat, so should the wise act without attachment, for the sake of leading people on the right path."
chpt3V26,"The wise should not create discord in the intellects of ignorant people, who are attached to fruitive actions, by inducing them to stop work. Rather, by performing their duties in an enlightened manner, they should inspire the ignorant also to do their prescribed duties."
chpt3V27,"All activities are carried out by the three modes of material nature. But in ignorance, the soul, deluded by false identification with the body, thinks of itself as the doer."
chpt3V28,"O mighty-armed Arjun, illumined persons distinguish the soul as distinct from"
chpt3V29,Those who are deluded by the operation of the
chpt3V30,"Performing all works as an offering unto Me, constantly meditate on Me as the Supreme. Become free from desire and selfishness, and with your mental grief departed, fight!"
chpt3V31,"Those who abide by these teachings of Mine, with profound faith and free from envy, are released from the bondage of karma."
chpt3V32,"But those who find faults with My teachings, being bereft of knowledge and devoid of discrimination, they disregard these principles and bring about their own ruin."
chpt3V33,"Even wise people act according to their natures, for all living beings are propelled by their natural tendencies. What will one gain by repression?"
chpt3V34,"The senses naturally experience attachment and aversion to the sense objects, but do not be controlled by them, for they are way-layers and foes."
chpt3V35,"It is far better to perform one’s natural prescribed duty, though tinged with faults, than to perform another’s prescribed duty, though perfectly. In fact, it is preferable to die in the discharge of one’s duty, than to follow the path of another, which is fraught with danger."
chpt3V36,"Arjun asked: Why is a person impelled to commit sinful acts, even unwillingly, as if by force, O descendent of Vrishni (Krishna)?"
chpt3V37,"The Supreme Lord said: It is lust alone, which is born of contact with the mode of passion, and later transformed into anger. Know this as the sinful, all-devouring enemy in the world."
chpt3V38,"Just as a fire is covered by smoke, a mirror is masked by dust, and an embryo is concealed by the womb, similarly one’s knowledge gets shrouded by desire."
chpt3V39,"The knowledge of even the most discerning gets covered by this perpetual enemy in the form of insatiable desire, which is never satisfied and burns like fire, O son of Kunti."
chpt3V40,"The senses, mind, and intellect are said to be breeding grounds of desire. Through them, it clouds one’s knowledge and deludes the embodied soul."
chpt3V41,"Therefore, O best of the Bharatas, in the very beginning bring the senses under control and slay this enemy called desire, which is the embodiment of sin and destroys knowledge and realization."
chpt3V42,"The senses are superior to the gross body, and superior to the senses is the mind. Beyond the mind is the intellect, and even beyond the intellect is the soul."
chpt3V43,"Thus knowing the soul to be superior to the material intellect, O mighty armed Arjun, subdue the lower self (senses, mind, and intellect) by the higher self (strength of the soul), and kill this formidable enemy called lust."
chpt4V1,"The Supreme Lord Shree Krishna said: I taught this eternal science of Yog to the Sun God, Vivasvan, who passed it on to Manu; and Manu, in turn, instructed it to Ikshvaku."
chpt4V2,"O subduer of enemies, the saintly kings thus received this science of Yog in a continuous tradition. But with the long passage of time, it was lost to the world."
chpt4V3,"The same ancient knowledge of Yog, which is the supreme secret, I am today revealing unto you, because you are My friend as well as My devotee, who can understand this transcendental wisdom."
chpt4V4,Arjun said: You were born much after Vivasvan. How am I to understand that in the beginning You instructed this science to him?
chpt4V5,"The Supreme Lord said: Both you and I have had many births, O Arjun. You have forgotten them, while I remember them all, O Parantapa."
chpt4V6,"Although I am unborn, the Lord of all living entities, and have an imperishable nature, yet I appear in this world by virtue of"
chpt4V7,"Whenever there is a decline in righteousness and an increase in unrighteousness, O Arjun, at that time I manifest Myself on earth."
chpt4V8,"To protect the righteous, to annihilate the wicked, and to reestablish the principles of dharma I appear on this earth, age after age."
chpt4V9,"Those who understand the divine nature of My birth and activities, O Arjun, upon leaving the body, do not have to take birth again, but come to My eternal abode."
chpt4V10,"Being free from attachment, fear, and anger, becoming fully absorbed in Me, and taking refuge in Me, many persons in the past became purified by knowledge of Me, and thus attained My divine love."
chpt4V11,"In whatever way people surrender unto Me, I reciprocate accordingly. Everyone follows My path, knowingly or unknowingly, O son of Pritha."
chpt4V12,"In this world, those desiring success in material activities worship the celestial gods, since material rewards manifest quickly."
chpt4V13,"The four categories of occupations were created by Me according to people’s qualities and activities. Although I am the Creator of this system, know Me to be the Non-doer and Eternal."
chpt4V14,"Activities do not taint Me, nor do I desire the fruits of action. One who knows Me in this way is never bound by the karmic reactions of work."
chpt4V15,"Knowing this truth, even seekers of liberation in ancient times performed actions. Therefore, following the footsteps of those ancient sages, you too should perform your duty."
chpt4V16,"What is action and what is inaction? Even the wise are confused in determining this. Now I shall explain to you the secret of action, by knowing which, you may free yourself from material bondage."
chpt4V17,"You must understand the nature of all three—recommended action, wrong action, and inaction. The truth about these is profound and difficult to understand."
chpt4V18,"Those who see action in inaction and inaction in action are truly wise amongst humans. Although performing all kinds of actions, they are yogis and masters of all their actions."
chpt4V19,"The enlightened sages call those persons wise, whose every action is free from the desire for material pleasures and who have burnt the reactions of work in the fire of divine knowledge."
chpt4V20,"Such people, having given up attachment to the fruits of their actions, are always satisfied and not dependent on external things. Despite engaging in activities, they do not do anything at all."
chpt4V21,"Free from expectations and the sense of ownership, with the mind and intellect fully controlled, they incur no sin even though performing actions by their body."
chpt4V22,"Content with whatever gain comes of its own accord, and free from envy, they are beyond the dualities of life. Being equipoised in success and failure, they are not bound by their actions, even while performing all kinds of activities."
chpt4V23,"They are released from the bondage of material attachments and their intellect is established in divine knowledge. Since they perform all actions as a sacrifice (to God), they are freed from all karmic reactions."
chpt4V24,"For those who are completely absorbed in God-consciousness, the oblation is Brahman, the ladle with which it is offered is Brahman, the act of offering is Brahman, and the sacrificial fire is also Brahman. Such persons, who view everything as God, easily attain Him."
chpt4V25,Some yogis worship the celestial gods with material offerings unto them. Others worship perfectly who offer the self as sacrifice in the fire of the Supreme Truth.
chpt4V26,Others offer hearing and other senses in the sacrificial fire of restraint. Still others offer sound and other objects of the senses as sacrifice in the fire of the senses.
chpt4V27,"Some, inspired by knowledge, offer the functions of all their senses and their life energy in the fire of the controlled mind."
chpt4V28,"Some offer their wealth as sacrifice, while others offer severe austerities as sacrifice. Some practice the eight-fold path of yogic practices, and yet others study the scriptures and cultivate knowledge as sacrifice, while observing strict vows."
chpt4V29,"Still others offer as sacrifice the outgoing breath in the incoming breath, while some offer the incoming breath into the outgoing breath. Some arduously practice"
chpt4V31,"Those who know the secret of sacrifice, and engaging in it, partake of its remnants that are like nectar, advance toward the Absolute Truth. O best of the Kurus, those who perform no sacrifice find no happiness either in this world or the next."
chpt4V32,All these different kinds of sacrifice have been described in the Vedas. Know them as originating from different types of work; this understanding cuts the knots of material bondage.
chpt4V33,"O subduer of enemies, sacrifice performed in knowledge is superior to any mechanical material sacrifice. After all, O Parth, all sacrifices of work culminate in knowledge."
chpt4V34,Learn the Truth by approaching a spiritual master. Inquire from him with reverence and render service unto him. Such an enlightened Saint can impart knowledge unto you because he has seen the Truth.
chpt4V35,"Following this path and having achieved enlightenment from a Guru, O Arjun, you will no longer fall into delusion. In the light of that knowledge, you will see that all living beings are but parts of the Supreme, and are within Me."
chpt4V36,Even those who are considered the most immoral of all sinners can cross over this ocean of material existence by seating themselves in the boat of divine knowledge.
chpt4V37,"As a kindled fire reduces wood to ashes, O Arjun, so does the fire of knowledge burn to ashes all reactions from material activities."
chpt4V38,"In this world, there is nothing as purifying as divine knowledge. One who has attained purity of mind through prolonged practice of Yog, receives such knowledge within the heart, in due course of time."
chpt4V39,"Those whose faith is deep and who have practiced controlling their mind and senses attain divine knowledge. Through such transcendental knowledge, they quickly attain everlasting supreme peace."
chpt4V40,"But persons who possess neither faith nor knowledge, and who are of a doubting nature, suffer a downfall. For the skeptical souls, there is no happiness either in this world or the next."
chpt4V41,"O Arjun, actions do not bind those who have renounced"
chpt4V42,"Therefore, with the sword of knowledge, cut asunder the doubts that have arisen in your heart. O scion of Bharat, establish yourself in"
chpt5V1,"Arjun said: O Shree Krishna, You praised"
chpt5V2,The Supreme Lord said: Both the path of
chpt5V3,The
chpt5V4,Only the ignorant speak of
chpt5V5,The supreme state that is attained by means of
chpt5V6,Perfect renunciation
chpt5V7,The
chpt5V8,"Those steadfast in karm yog, always think, “I am not the doer,” even while engaged in seeing, hearing, touching, smelling, moving, sleeping, breathing, speaking, excreting, grasping, and opening or closing the eyes. With the light of divine knowledge, they see that it is only the material senses that are moving amongst their objects."
chpt5V10,"Those who dedicate their actions to God, abandoning all attachment, remain untouched by sin, just as a lotus leaf is untouched by water."
chpt5V11,"The yogis, while giving up attachment, perform actions with their body, senses, mind, and intellect, only for the purpose of self-purification."
chpt5V12,"Offering the results of all activities to God, the"
chpt5V13,The embodied beings who are self-controlled and detached reside happily in the city of nine gates free from thoughts that they are the doers or the cause of anything.
chpt5V14,Neither the sense of doership nor the nature of actions comes from God; nor does He create the fruits of actions.  All this is enacted by the modes of material nature (
chpt5V15,The omnipresent God does not involve Himself in the sinful or virtuous deeds of anyone.  The living entities are deluded because their inner knowledge is covered by ignorance.
chpt5V16,"But for those whose ignorance is destroyed by divine knowledge, the Supreme Entity is revealed, just as the sun illumines everything when it rises."
chpt5V17,"Those whose intellect is fixed in God, who are completely absorbed in God, with firm faith in Him as the supreme goal, such persons quickly reach the state from which there is no return, their sins having been dispelled by the light of knowledge."
chpt5V18,"The truly learned, with the eyes of divine knowledge, see with equal vision a Brahmin, a cow, an elephant, a dog, and a dog-eater."
chpt5V19,"Those whose minds are established in equality of vision conquer the cycle of birth and death in this very life.  They possess the flawless qualities of God, and are therefore seated in the Absolute Truth."
chpt5V20,"Established in God, having a firm understanding of divine knowledge and not hampered by delusion, they neither rejoice in getting something pleasant nor grieve on experiencing the unpleasant."
chpt5V21,"Those who are not attached to external sense pleasures realize divine bliss in the self.  Being united with God through Yog, they experience unending happiness."
chpt5V22,"The pleasures that arise from contact with the sense objects, though appearing as enjoyable to worldly-minded people, are verily a source of misery.  O son of Kunti, such pleasures have a beginning and an end, so the wise do not delight in them."
chpt5V23,"Those persons are yogis, who before giving up the body are able to check the forces of desire and anger; and they alone are happy."
chpt5V24,"Those who are happy within themselves, enjoying the delight of God within, and are illumined by the inner light, such yogis are united with the Lord and are liberated from material existence."
